Date,Value
9/23/2008,892.5
9/24/2008,888.5
9/25/2008,889
9/26/2008,869
9/29/2008,876.5
9/30/2008,897
10/1/2008,876
10/2/2008,866.25
10/3/2008,842.5
10/6/2008,836.5
10/7/2008,881.75
10/8/2008,913
10/9/2008,886.75
10/10/2008,918
10/13/2008,865
10/14/2008,849.5
10/15/2008,848.5
10/16/2008,834.5
10/17/2008,801
10/20/2008,803
10/21/2008,781
10/22/2008,757.5
10/23/2008,726
10/24/2008,692.5
10/27/2008,720.5
10/28/2008,745
10/29/2008,749.25
10/30/2008,772.25
10/31/2008,728.5
11/3/2008,734
11/4/2008,734
11/5/2008,753.25
11/6/2008,739
11/7/2008,742
11/10/2008,751.75
11/11/2008,741.75
11/12/2008,731.5
11/13/2008,714
11/14/2008,729.5
11/17/2008,745
11/18/2008,736.5
11/19/2008,737.75
11/20/2008,745.25
11/21/2008,758.5
11/24/2008,816.75
11/25/2008,802.5
11/26/2008,817
11/27/2008,813.5
11/28/2008,813.5
12/1/2008,795.5
12/2/2008,772.5
12/3/2008,773.5
12/4/2008,772.75
12/5/2008,771.75
12/8/2008,772.25
12/9/2008,771
12/10/2008,785.75
12/11/2008,821
12/12/2008,813.75
12/15/2008,827.5
12/16/2008,833.5
12/17/2008,853.75
12/18/2008,872.5
12/19/2008,839
12/22/2008,846
12/23/2008,844
12/24/2008,836.75
12/29/2008,881
12/30/2008,870
12/31/2008,865
1/2/2009,869.75
1/5/2009,860
1/6/2009,844
1/7/2009,864
1/8/2009,842.5
1/9/2009,854
1/12/2009,848.5
1/13/2009,815.5
1/14/2009,827.25
1/15/2009,813
1/16/2009,824.25
1/19/2009,842.5
1/20/2009,835
1/21/2009,860.5
1/22/2009,847.75
1/23/2009,873
1/26/2009,906.5
1/27/2009,896
1/28/2009,891.25
1/29/2009,878.5
1/30/2009,918.5
2/2/2009,913.75
2/3/2009,902
2/4/2009,902.25
2/5/2009,914.75
2/6/2009,914
2/9/2009,901
2/10/2009,896
2/11/2009,922
2/12/2009,944
2/13/2009,939.25
2/16/2009,943
2/17/2009,962.25
2/18/2009,964.75
2/19/2009,973.5
2/20/2009,981
2/23/2009,987
2/24/2009,989.75
2/25/2009,956.25
2/26/2009,945
2/27/2009,943.75
3/2/2009,949.5
3/3/2009,924.75
3/4/2009,911
3/5/2009,913.25
3/6/2009,937.75
3/9/2009,934.75
3/10/2009,911.5
3/11/2009,900
3/12/2009,914.5
3/13/2009,920
3/16/2009,923
3/17/2009,920
3/18/2009,910.75
3/19/2009,937.25
3/20/2009,957
3/23/2009,952.75
3/24/2009,928.75
3/25/2009,921.25
3/26/2009,935.5
3/27/2009,927
3/30/2009,923
3/31/2009,918.5
4/1/2009,919.5
4/2/2009,914.75
4/3/2009,901.5
4/6/2009,879.5
4/7/2009,879.25
4/8/2009,887.25
4/9/2009,883.75
4/14/2009,895
4/15/2009,892.25
4/16/2009,889
4/17/2009,872
4/20/2009,870
4/21/2009,888.75
4/22/2009,885
4/23/2009,894.5
4/24/2009,909
4/27/2009,911.75
4/28/2009,897
4/29/2009,894.5
4/30/2009,889
5/1/2009,881.5
5/5/2009,903
5/6/2009,903.5
5/7/2009,912.75
5/8/2009,917.5
5/11/2009,912.5
5/12/2009,920
5/13/2009,925.75
5/14/2009,923.25
5/15/2009,925
5/18/2009,929.75
5/19/2009,921.5
5/20/2009,928.5
5/21/2009,940
5/22/2009,952.5
5/26/2009,942
5/27/2009,949.5
5/28/2009,949.75
5/29/2009,972
6/1/2009,987
6/2/2009,973.5
6/3/2009,979
6/4/2009,967.25
6/5/2009,977.75
6/8/2009,946.5
6/9/2009,952.5
6/10/2009,961.25
6/11/2009,953
6/12/2009,950
6/15/2009,932
6/16/2009,936.75
6/17/2009,933.75
6/18/2009,936.75
6/19/2009,933.75
6/22/2009,924
6/23/2009,920.25
6/24/2009,928.75
6/25/2009,934.25
6/26/2009,943
6/29/2009,939.75
6/30/2009,941
7/1/2009,931.5
7/2/2009,936
7/3/2009,932.5
7/6/2009,921.5
7/7/2009,925.75
7/8/2009,920.75
