comment,processed,baku_cleared,label_manual
tidak bisa check out nyalain lokasi udh nyala piye,tidak bisa check out nyalain lokasi udh nyala piye,tidak bisa lokasi nyala,-1
check in check out error,check in check out error,out,-1
gps nya harus dibenerin,gps nya dibenerin,dibenerin,-1
lumayan,lumayan,lumayan,0
aplikasi force close klik tombol i am understood,aplikasi force close klik tombol i am understood,aplikasi klik tombol,-1
akses media apa location suka tidak sesuai,akses media location suka tidak sesuai,akses media suka tidak sesuai,-1
vaksinasi sertifikat vaksin pas check tidak diapp,vaksinasi sertifikat vaksin pas check tidak diapp,vaksinasi sertifikat vaksin pas tidak,-1
aplikasi audah bisa si pakai sangat,aplikasi audah bisa si pakai,aplikasi bisa pakai,1
biasa yaa aplikasi bikin negeri mah lot miris,yaa aplikasi bikin negeri mah lot miris,aplikasi bikin negeri mah lot miris,-1
lindung data,lindung data,lindung data,1
aplikasi banyak perintah,aplikasi perintah,aplikasi perintah,-1
kena tidak bisa masuk y ada baca pih bahsa indo dn asing gitu,kena tidak bisa masuk y baca pih bahsa indo dn asing gitu,kena tidak bisa masuk baca dn asing,-1
tabrak tidak buka unduh aplikasi karena suatu bagi warga negara indonesia,tabrak tidak buka unduh aplikasi suatu warga negara indonesia,tabrak tidak buka unduh aplikasi warga negara indonesia,-1
bikin hp jadi error semenjak download aplikasi bug nya tuju aplikasi manfaat tp kelola buruk ganggu nyaman masyarakat,bikin hp error semenjak download aplikasi bug nya tuju aplikasi manfaat tp kelola buruk ganggu nyaman masyarakat,bikin semenjak aplikasi tuju aplikasi manfaat kelola buruk ganggu nyaman masyarakat,-1
tidak bisa login gajelas,tidak bisa login gajelas,tidak bisa,-1
tidak telah pindai barcode batas radius yang masuk akal pergi supermarket menit rumah saya tolong baik,tidak pindai barcode batas radius masuk akal pergi supermarket menit rumah tolong baik,tidak pindai batas radius masuk akal pergi supermarket menit rumah tolong baik,-1
tolong call centre cepat tanggap,tolong call centre cepat tanggap,tolong cepat tanggap,-1
susah chek data,susah chek data,susah data,-1
sertifikat tidak muncul sudah hubung call centre kecewa,sertifikat tidak muncul hubung call centre kecewa,sertifikat tidak muncul hubung kecewa,-1
pindai masuk salah tidak pindai jadi kali,pindai masuk salah tidak pindai kali,pindai masuk salah tidak pindai kali,-1
vaksin kali tidak bisa lihat sertifikat,vaksin kali tidak bisa lihat sertifikat,vaksin kali tidak bisa lihat sertifikat,-1
gimana vaksin saya tidak sertivikatnya udah email tidak respon,gimana vaksin tidak sertivikatnya udah email tidak respon,vaksin tidak email tidak,-1
ramah guna,ramah guna,ramah guna,1
tidak tau padahal udah vaksin sertifikat tidak masuk peduli lindung harus bawa kartu vaksin ribet,tidak tau udah vaksin sertifikat tidak masuk peduli lindung bawa kartu vaksin ribet,tidak tau vaksin sertifikat tidak masuk peduli lindung bawa kartu vaksin,-1
menu atur jalan tidak update sudah ganti masih atur juli di pake,menu atur jalan tidak update ganti atur juli pake,menu atur jalan tidak ganti atur juli,-1
udah bisa daftar jam standby coba munkin itu ganggu servernya penuh kali ya dari website apilikasinya sama tidak fungsi keep up the good work lupa update review dari yang,udah bisa daftar jam standby coba munkin ganggu servernya penuh kali ya website apilikasinya tidak fungsi keep up the good work lupa update review yang,bisa daftar jam coba ganggu penuh kali tidak fungsi good lupa dari,1
vaksinasi pemberitahuan sertifikat siap sistem hebat pikir unduh aplikasi tanya pikir guna ktp saya untuk dapat vaksin saya orang asing dan masalah aplikasi ini hanya anggap bahasa indonesia milik ktp status saya masih merah saya dapat sertifikat saya bagus,vaksinasi pemberitahuan sertifikat sistem hebat pikir unduh aplikasi pikir guna ktp untuk vaksin orang asing masalah aplikasi hanya anggap bahasa indonesia milik ktp status masih merah dapat sertifikat bagus,vaksinasi sertifikat sistem hebat pikir unduh aplikasi pikir guna vaksin orang asing aplikasi anggap bahasa indonesia milik status merah sertifikat bagus,-1
tidak mesra rakyat guna warga indonesia ada luar suruh ulas email email susah,tidak mesra rakyat guna warga indonesia luar suruh ulas email email susah,tidak mesra rakyat guna warga indonesia luar suruh ulas email email susah,-1
tidak bisa guna proses install aplikasi henti tuju bijak privacy versi android belum bisa,tidak bisa guna proses install aplikasi henti tuju bijak privacy versi android bisa,tidak bisa guna proses aplikasi henti tuju bijak versi bisa,-1
tidak bisa login keluar hari lalu aplikasi guna tidak temu tidak sudah milik akun peduli lindung vaksinasi bulan lalu saya laku saya sudah coba alamat email yang sama,tidak bisa login hari aplikasi guna tidak temu tidak milik akun peduli lindung vaksinasi lalu laku sudah coba alamat email sama,tidak bisa aplikasi guna tidak temu tidak milik akun peduli lindung vaksinasi lalu laku coba alamat email,-1
bagus,bagus,bagus,1
orang asing darah sistem darah putus orang indonesia,orang asing darah sistem darah putus orang indonesia,orang asing darah sistem darah putus orang indonesia,-1
aplikasi wajib online tidak device bisa internet tidak simpan aja sampai internet aktif kirim database peduli lindung,aplikasi wajib online tidak device bisa internet tidak simpan aja internet aktif kirim database peduli lindung,aplikasi wajib tidak bisa tidak simpan aja aktif kirim peduli lindung,-1
aplikasi rotat set tanggal lahir urut tahun pencet ratus gin aplikasi indonesia,aplikasi rotat set tanggal lahir urut pencet ratus gin aplikasi indonesia,aplikasi set tanggal lahir urut pencet ratus gin aplikasi indonesia,-1
cocok bahwa bahasa inggris sedia daftar nik bagai orang asing tidak bidang bahasa inggris ada ulas bawah tentang ehac tidak integrasi tolong baik segera pergi mereka lihat hasil pcr unggah sana juga milik ini di mal kemarin guna versi baru tetapi tidak izin saya dan saya tidak vaksinasi salah salah saya sudah check in kerja tolong baik,cocok bahasa inggris sedia daftar nik orang asing tidak bidang bahasa inggris ulas tentang ehac tidak integrasi tolong baik pergi lihat hasil pcr unggah juga milik di mal kemarin guna versi tetapi tidak izin dan tidak vaksinasi salah salah sudah check in kerja tolong baik,cocok bahasa inggris sedia daftar nik orang asing tidak bidang bahasa inggris ulas tidak integrasi tolong baik pergi lihat hasil unggah milik mal kemarin guna versi tidak izin tidak vaksinasi salah salah in kerja tolong baik,-1
aplikasi ok,aplikasi ok,aplikasi,1
