tak_tidak_kagak bisa_sanggup_dapat check out nyalain posisi_lokasi_tempat udh nyala_hidup piye,tak_tidak_kagak bisa_sanggup_dapat out posisi_lokasi_tempat nyala_hidup,tidak bisa check out nyalain lokasi udh nyala piye,TRUE,tidak bisa check out nyalain lokasi udh nyala piye,-1,1
check in check out error,in out,check in check out error,TRUE,check in check out error,-1,2
gps nya dibenerin,nya dibenerin,gps nya harus dibenerin,TRUE,gps nya harus dibenerin,-1,3
lumayan_sedang_juga_pada_bahasa,lumayan_sedang_juga_pada_bahasa,lumayan,TRUE,lumayan,0,4
operasi_aplikasi force close klik tombol i am understood,operasi_aplikasi close klik tombol am,aplikasi force close klik tombol i am understood,TRUE,aplikasi force close klik tombol i am understood,-1,5
akses perangkat_jalan_media location mau_puas_suka tak_tidak_kagak sinkron_cocok_sesuai,akses perangkat_jalan_media location mau_puas_suka tak_tidak_kagak sinkron_cocok_sesuai,akses media apa location suka tidak sesuai,TRUE,akses media apa location suka tidak sesuai,-1,6
vaksinasi surat_sertifikat vaksin betul_cocok_sedang_pas_kompatibel check tak_tidak_kagak diapp,vaksinasi surat_sertifikat vaksin betul_cocok_sedang_pas_kompatibel tak_tidak_kagak,vaksinasi sertifikat vaksin pas check tidak diapp,TRUE,vaksinasi sertifikat vaksin pas check tidak diapp,-1,7
operasi_aplikasi audah bisa_sanggup_dapat si pakai,operasi_aplikasi bisa_sanggup_dapat pakai,aplikasi audah bisa si pakai sangat,TRUE,aplikasi audah bisa si pakai sangat,1,8
yaa operasi_aplikasi bikin daerah_bumi_negeri_kota mah lot miris,yaa operasi_aplikasi bikin daerah_bumi_negeri_kota mah lot miris,biasa yaa aplikasi bikin negeri mah lot miris,TRUE,biasa yaa aplikasi bikin negeri mah lot miris,-1,9
lindung data_statistik_informasi_fakta_bukti,lindung data_statistik_informasi_fakta_bukti,lindung data,TRUE,lindung data,1,10
operasi_aplikasi tugas_order_perintah,operasi_aplikasi tugas_order_perintah,aplikasi banyak perintah,TRUE,aplikasi banyak perintah,-1,11
