dic_index,words
agree,setuju
agreenya,setuju
akurat,akurat
alhamdulillah,alhamdulillah
alhmdllh,alhamdulillah
alhmdulillh,alhamdulillah
ama,aman
amn,aman
amazing,amazing
awesome,awesome
bagis,bagus
bagus,bagus
baguss,bagus
bgs,bagus
bags,bagus
bgus,bagus
bgss,bagus
baguuuus,bagus
,baik
bermamfaat,bermanfaat
btul,betul
betl,betul
btl,betul
bijak,bijak
bijaksana,bijaksana
bner,benar
benar,benar
bnar,benar
bnr,benar
canggih,canggih
dmanfaatkan,manfaat
fungsi,fungsi
gampang,gampang
good,good
goodjob,goodjob
goood,goood
great,great
guna,guna
gunain,gunain
gunakann,gunakann
hebat,hebat
jelaaaaaas,jelaaaaaas
jelas,jelas
jos,jos
kasi,kasi
kasih,kasih
kepake,kepake
keren,keren
kompatible,kompatible
kwalitas,kualitas
lancar,lancar
lumayan,lumayan
maklum,maklum
manfaat,manfaat
mantab,mantab
mantap,mantap
mantapp,mantapp
mantep,mantep
mantul,mantul
memdhkn,mudah
memudhkn,mudah
memudahkn,mudah
merespon,merespon
mntaapp,mantap
mutu,mutu
ngedukung,ngedukung
ngerti,ngerti
ngotak,ngotak
ntaps,mantap
paham,paham
palingbagus,bagus
praktis,praktis
puas,puas
sahabat,sahabat
semangat,semangat
sempurna,sempurna
terima,terimakasih
terimakasi,terimakasih
terimakasih,terimakasih
terimakasihh,terimakasih
terimaksih,terimakasih
terumakasih,terimakasih
thanks,terimakasih
thx,terimakasih
top,top
trimakasih,terimakasih
trimksihh,terimakasih
trims,terimakasih
abal,abal
abis,abis
adminnya,adminnya
adminnya,adminnya
aduh,aduh
amburadul,amburadul
ampas,ampas
ampun,ampun
ancur,ancur
aneh,aneh
anjg,anjg
anjir,anjir
anjur,anjur
bangke,bangke
belum,belum
berat,berat
bingung,bingung
blm,belum
bln,belum
blom,belum
blum,belum
bobbrooookkk,jelek
bobroooookkkk,jelek
bodo,bodoh
bodoh,bodoh
bodohin,bodoh
boro,boro
boros,boros
buang,buang
buruk,buruk
capek,capek
close,close
dasar,dasar
dibenahin,dibenahin
dibenerin,dibenerin
dikecilin,dikecilin
diperabaharui,diperabaharui
diperbaikai,diperbaikai
diupdate,diupdate
diupgrade,diupgrade
diviralkan,diviralkan
dtingkatkan,ditingkatkan
emosi,emosi
enggak,tidak
entah,entah
eror,error
erorr,error
error,error
errorrrrrrrrrr,error
g,tidak
ga,tidak
gaada,gaada
gaak,tidak
gabisa,tidakbisa
gagal,gagal
gajelas,gajelas
gak,tidak
gamuncul,gamuncul
ganggu,ganggu
gausah,gausah
gbisa,tidakbisa
gda,gaada
ggal,gagal
gila,gila
gk,tidak
gpakai,gpakai
gx,tidak
habis,habis
hadeeuuh,haduh
hadehh,haduh
hadehhh,haduh
haduuu,haduh
hambat,hambat
hancur,hancur
heeedeeeeh,haduh
heran,heran
ilang,ilang
jangan,jangan
jeeeleeeek,jelek
jeleeek,jelek
jeleh,jelek
jelek,jelek
jelekkk,jelek
jgan,jangan
jgn,jangan
jngn,jangan
kacau,kacau
kampung,kampung
kasihan,kasihan
kecewa,kecewa
kelluhan,keluhan
kenapa,kenapa
kendala,kendala
kentang,kentang
kesal,kesal
kesel,kesal
kesell,kesal
keselllllll,kesal
knapa,kenapa
knp,kenapa
knpa,kenapa
komplain,komplain
kontol,kontol
konyol,konyol
koq,kok
kritik,kritik
kurang,kurang
lama,lama
lambat,lambat
lansia,lansia
lapor,lapor
lelet,lelet
lemah,lemah
lemottttt,lemot
mabok,mabok
macet,macet
males,males
malu,malu
maluin,malu
masalah,masalah
mati,mati
membuag,buat
mengapa,mengapa
menghanbat,hambat
mengharapkn,harap
menyalahgunakan,salahgunakan
modar,mati
msalah,masalah
muak,muak
mulu,mulu
muluk,muluk
mumet,mumet
ngaco,ngaco
ngapain,ngapain
ngebag,bug
ngeblank,ngeblank
ngebugs,bug
ngelag,lag
ngeselin,ngeselin
ngestuck,ngestuck
ngga,tidak
nggak,tidak
ngk,tidak
nglantur,nglantur
nyusahin,susah
nyusahkan,susah
ojol,ojol
otp,otp
padah,padahal
padaha,padahal
padahah,padahal
padahal,padahal
padahl,padahal
padal,padahal
paksa,paksa
paksain,paksa
pantesan,pantas
parah,parah
payah,payah
payahhhhh,payah
pdhl,padahal
pencerahanya,pencerahanya
penggunaanya,penggunaanya
perbaikin,perbaikin
percuma,percuma
perhati,perhatian
perhatiin,perhatian
pnjelasanya,jelas
repot,repot
ribet,ribet
ribettt,ribet
roweeeeet,rumit
rubish,sampah
rugi,rugi
rumit,rumit
rusak,rusak
ruwet,rumit
ruwetr,rumit
samasekaliipayah,payah
sampah,sampah
sangkut,sangkut
sembarang,sembarang
setan,setan
stuck,stuck
sumpahinnn,sumpah
susah,susah
susahh,susah
taekk,tai
tai,tai
tidak,tidak
tindak,tindak
tindas,tindas
tlg,tolong
tlng,tolong
tlong,tolong
tolak,tolak
tolong,tolong
usah,usah
waduh,waduh
yaudahlah,yaudahlah
quot, 
br, 
amp, 
can't,can not
don't,do not
i'm,I am
