comment,processed,label_manual
tidak bisa check out nyalain lokasi udh nyala piye,tak_tidak_kagak bisa_sanggup_dapat check out nyalain posisi_lokasi_tempat udh nyala_hidup piye,-1
check in check out error,check in check out error,-1
gps nya harus dibenerin,gps nya dibenerin,-1
lumayan,lumayan_sedang_juga_pada_bahasa,0
aplikasi force close klik tombol i am understood,operasi_aplikasi force close klik tombol i am understood,-1
akses media apa location suka tidak sesuai,akses perangkat_jalan_media location mau_puas_suka tak_tidak_kagak sinkron_cocok_sesuai,-1
vaksinasi sertifikat vaksin pas check tidak diapp,vaksinasi surat_sertifikat vaksin betul_cocok_sedang_pas_kompatibel check tak_tidak_kagak diapp,-1
aplikasi audah bisa si pakai sangat,operasi_aplikasi audah bisa_sanggup_dapat si pakai,1
biasa yaa aplikasi bikin negeri mah lot miris,yaa operasi_aplikasi bikin daerah_bumi_negeri_kota mah lot miris,-1
lindung data,lindung data_statistik_informasi_fakta_bukti,1
aplikasi banyak perintah,operasi_aplikasi tugas_order_perintah,-1
kena tidak bisa masuk y ada baca pih bahsa indo dn asing gitu,langsung_kena tak_tidak_kagak bisa_sanggup_dapat masuk_kena_turun_sampai y baca pih bahsa indo dn asing_lain_aneh_luar_jauh gitu,-1
tabrak tidak buka unduh aplikasi karena suatu bagi warga negara indonesia,adu_tabrak tak_tidak_kagak buka_aktif unduh operasi_aplikasi suatu anggota_anak_keluarga_warga_orang negeri_kampung_wilayah_daerah_dunia_negara_zona indonesia,-1
bikin hp jadi error semenjak download aplikasi bug nya tuju aplikasi manfaat tp kelola buruk ganggu nyaman masyarakat,bikin hp error semenjak_sejak_dari download operasi_aplikasi bug nya tuju operasi_aplikasi manfaat_guna_untung_fungsi_arti tp kelola rusak_buruk_kasar_busuk_negatif_jelek_cacat ganggu_kacau nikmat_segar_aman_sehat_enak_fit_nyaman publik_masyarakat_bangsa_rakyat,-1
tidak bisa login gajelas,tak_tidak_kagak bisa_sanggup_dapat login gajelas,-1
tidak telah pindai barcode batas radius yang masuk akal pergi supermarket menit rumah saya tolong baik,tak_tidak_kagak pindai barcode batas_padan radius masuk_kena_turun_sampai rasio_akal_ikhtiar berangkat_pergi_hilang supermarket menit gedung_rumah tolong_bantu ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak,-1
tolong call centre cepat tanggap,tolong_bantu call centre kunjung_cepat_lekas_segera responsif_tanggap_peka_paham,-1
susah chek data,berat_repot_sulit_payah_susah chek data_statistik_informasi_fakta_bukti,-1
sertifikat tidak muncul sudah hubung call centre kecewa,surat_sertifikat tak_tidak_kagak lahir_terbit_keluar_hidup_timbul_muncul hubung call centre kesal_putus_kecewa,-1
pindai masuk salah tidak pindai jadi kali,pindai masuk_kena_turun_sampai meleset_cacat_salah_lupa tak_tidak_kagak pindai waktu_saat_ketika_kali,-1
vaksin kali tidak bisa lihat sertifikat,vaksin waktu_saat_ketika_kali tak_tidak_kagak bisa_sanggup_dapat tentang_pantau_lihat_temu_kunjung surat_sertifikat,-1
gimana vaksin saya tidak sertivikatnya udah email tidak respon,gimana vaksin tak_tidak_kagak sertivikatnya udah email tak_tidak_kagak respon,-1
ramah guna,ramah_ringan manfaat_guna_bagi_fungsi_untuk_buat,1
tidak tau padahal udah vaksin sertifikat tidak masuk peduli lindung harus bawa kartu vaksin ribet,tak_tidak_kagak tau udah vaksin surat_sertifikat tak_tidak_kagak masuk_kena_turun_sampai tahu_peduli lindung angkat_bawa kartu_tiket_surat vaksin ribet,-1
menu atur jalan tidak update sudah ganti masih atur juli di pake,menu atur jalan tak_tidak_kagak update ubah_ganti atur juli pake,-1
udah bisa daftar jam standby coba munkin itu ganggu servernya penuh kali ya dari website apilikasinya sama tidak fungsi keep up the good work lupa update review dari yang,udah bisa_sanggup_dapat jadwal_register_daftar tanda_jam standby kalau_coba_jika munkin ganggu_kacau servernya penuh_banyak_sempurna_kaya_lengkap waktu_saat_ketika_kali sungguh_betul_ya_iya_oke website apilikasinya tak_tidak_kagak tugas_fungsi_manfaat_guna keep up the good work lupa update review yang,1
vaksinasi pemberitahuan sertifikat siap sistem hebat pikir unduh aplikasi tanya pikir guna ktp saya untuk dapat vaksin saya orang asing dan masalah aplikasi ini hanya anggap bahasa indonesia milik ktp status saya masih merah saya dapat sertifikat saya bagus,vaksinasi pemberitahuan surat_sertifikat sistem_orde hebat_istimewa_kuat_seru akal_pikir unduh operasi_aplikasi akal_pikir manfaat_guna_bagi_fungsi_untuk_buat ktp buat_bagi_untuk_akan vaksin bangsa_orang_manusia asing_lain_aneh_luar_jauh problem_masalah operasi_aplikasi tetapi_hanya_cuma_saja anggap_tanggap_rasa_kira kode_cara_bahasa indonesia milik ktp nama_status_kualitas_situasi_posisi_kelas masih_lagi_sedang_tinggal_tengah merah bisa_sanggup_dapat_terima surat_sertifikat baik_bagus_keren,-1
tidak mesra rakyat guna warga indonesia ada luar suruh ulas email email susah,tak_tidak_kagak mesra_suka orang_rakyat manfaat_guna_bagi_fungsi_untuk_buat anggota_anak_keluarga_warga_orang indonesia asing_luar suruh_perintah ulas email email berat_repot_sulit_payah_susah,-1
tidak bisa guna proses install aplikasi henti tuju bijak privacy versi android belum bisa,tak_tidak_kagak bisa_sanggup_dapat manfaat_guna_bagi_fungsi_untuk_buat cara_mode_jalan_proses_operasi_sistem install operasi_aplikasi jeda_henti tuju pintar_bijak privacy tipe_versi_cara_jenis android bisa_sanggup_dapat,-1
tidak bisa login keluar hari lalu aplikasi guna tidak temu tidak sudah milik akun peduli lindung vaksinasi bulan lalu saya laku saya sudah coba alamat email yang sama,tak_tidak_kagak bisa_sanggup_dapat login hari operasi_aplikasi manfaat_guna_bagi_fungsi_untuk_buat tak_tidak_kagak temu tak_tidak_kagak milik akun tahu_peduli lindung vaksinasi habis_selesai_tinggal_lalu laku habis_sudah_telah kalau_coba_jika sinyal_tanda_alamat email sama_cocok_sesuai_pas,-1
bagus,baik_bagus_keren,1
orang asing darah sistem darah putus orang indonesia,bangsa_orang_manusia asing_lain_aneh_luar_jauh darah sistem_orde darah habis_putus_hilang_selesai_pecah_pisah bangsa_orang_manusia indonesia,-1
aplikasi wajib online tidak device bisa internet tidak simpan aja sampai internet aktif kirim database peduli lindung,operasi_aplikasi tentu_wajib_mesti_tetap_harus_perlu online tak_tidak_kagak device bisa_sanggup_dapat internet tak_tidak_kagak simpan_singkat_beres aja internet sibuk_dinamis_giat_rajin_aktif kirim database tahu_peduli lindung,-1
aplikasi rotat set tanggal lahir urut tahun pencet ratus gin aplikasi indonesia,operasi_aplikasi rotat atur_perangkat_set_pasang tanggal_bulan_hari lahir_keluar_timbul_jadi_muncul urut pencet ratus gin operasi_aplikasi indonesia,-1
cocok bahwa bahasa inggris sedia daftar nik bagai orang asing tidak bidang bahasa inggris ada ulas bawah tentang ehac tidak integrasi tolong baik segera pergi mereka lihat hasil pcr unggah sana juga milik ini di mal kemarin guna versi baru tetapi tidak izin saya dan saya tidak vaksinasi salah salah saya sudah check in kerja tolong baik,betul_cocok_sesuai_pas_masuk_kompatibel_sinkron kode_cara_bahasa inggris selesai_sedia jadwal_register_daftar nik bangsa_orang_manusia asing_lain_aneh_luar_jauh tak_tidak_kagak tempat_lebar_dunia_latar_bidang_aspek_papar kode_cara_bahasa inggris ulas tentang_akan ehac tak_tidak_kagak integrasi tolong_bantu ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak berangkat_pergi_hilang tentang_pantau_lihat_temu_kunjung hasil pcr unggah saja_lagi_lumayan_pun_juga milik pada_di_dalam dana_mal kemarin manfaat_guna_bagi_fungsi_untuk_buat tipe_versi_cara_jenis aktual_mutakhir_baru_segar tak_tidak_kagak izin lalu_dan_dengan_lagi tak_tidak_kagak vaksinasi meleset_cacat_salah_lupa meleset_cacat_salah_lupa habis_sudah_telah check in operasi_fungsi_kerja_aktivitas tolong_bantu ramah_ya_baik_normal_jujur_sehat_bagus_pulih_efektif_oke_enak,-1
aplikasi ok,operasi_aplikasi ok,1
