comment,id,en,id_processed,en_processed,label_manual,svm_id,svm_en
"tdk bs check out diminta nyalain lokasi, pdhl udh nyala terus. piye?","tdk bs check out diminta nyalain lokasi, pdhl udh nyala terus. piye?","no check out was asked to turn on the location, pdhl udh continued. piye?",,,-1,,
check in dan check out selalu error,check in dan check out selalu error,check in and check out always error,,,-1,,
gps nya masih harus dibenerin,gps nya masih harus dibenerin,the gps still has to be burned,,,-1,,
lumayan,lumayan,reasonable,,,0,,
aplikasinya force close setelah mengklik tombol "i am understood",aplikasinya force close setelah mengklik tombol "i am understood",the application of force close after clicking the "i am understood" button,,,-1,,
"minta akses media buat apaan, location suka ga sesuai","minta akses media buat apaan, location suka ga sesuai","ask for media access to fuck, location likes to fit",,,-1,,
sudah vaksinasi sertifikat vaksin pas di check tidak ada diapp ini.,sudah vaksinasi sertifikat vaksin pas di check tidak ada diapp ini.,the vaccination vaccination was vaccinated when checked there was no diapp.,,,-1,,
sekarang aplikasinya audah bisa si pakai dan sangat membantu..,sekarang aplikasinya audah bisa si pakai dan sangat membantu..,now the application can be used and very helpful ...,,,1,,
sudah biasa yaa aplikasi bikinan dalam negeri mah selalu lemot. miris,sudah biasa yaa aplikasi bikinan dalam negeri mah selalu lemot. miris,it's commonplace the application of domestic in the country is always slow. pity,,,-1,,
good data protection🤩✌,perlindungan data yang baik🤩✌,good data protection🤩✌,,,0,,
too much government's app,aplikasi terlalu banyak pemerintah,too much government's app,,,0,,
"yes, i 👍","ya, saya 👍","yes, i 👍",,,0,,
kena saya gak bisa masuk y? cuma ada bacaan pih bahsa indo dn asing gitu saja,kena saya gak bisa masuk y? cuma ada bacaan pih bahsa indo dn asing gitu saja,can i get it? there is only a pih bahsa indo and foreign,,,-1,,
keep crashing and can't be opened. downloaded this app because it's a must for indonesian citizens,terus menabrak dan tidak dapat dibuka. mengunduh aplikasi ini karena itu suatu keharusan bagi warga negara indonesia,keep crashing and can't be opened. downloaded this app because it's a must for indonesian citizens,,,-1,,
bikin hp saya jadi error semenjak download aplikasi ini.. banyak bug nya . tujuan aplikasinya bermanfaat tp pengelolaannya buruk. mengganggu kenyamanan masyarakat.,bikin hp saya jadi error semenjak download aplikasi ini.. banyak bug nya . tujuan aplikasinya bermanfaat tp pengelolaannya buruk. mengganggu kenyamanan masyarakat.,make my cellphone become an error since downloading this application ... lots of bugs. the purpose of the application is useful but the management is bad. disrupt the comfort of society.,,,-1,,
gabisa login gajelas,gabisa login gajelas,gabisa login gajelas,,,-1,,
"i cannot check in after scanning the barcode, it says 'melebihi batas radius' what does even make sense when i went to supermarket like 10 minutes away from my house :/ please do fix it!","saya tidak dapat check-in setelah memindai barcode, katanya 'melebihi batas radius' apa yang bahkan masuk akal ketika saya pergi ke supermarket seperti 10 menit dari rumah saya: / tolong perbaiki!","i cannot check in after scanning the barcode, it says 'melebihi batas radius' what does even make sense when i went to supermarket like 10 minutes away from my house :/ please do fix it!",,,-1,,
tolong call centre lebih cepat tanggap,tolong call centre lebih cepat tanggap,please call more responsive please,,,-1,,
susah mau chek data,susah mau chek data,it's hard to want data chek,,,-1,,
sertifikat tidak muncul. padahal sudah menghubungi call centre. kecewa,sertifikat tidak muncul. padahal sudah menghubungi call centre. kecewa,the certificate does not appear. even though he has contacted the call center. disappointed,,,-1,,
"""scan for log in > error, can't scan"" it happened everytime","""pindai untuk masuk> kesalahan, tidak dapat memindai"" itu terjadi setiap kali","""scan for log in > error, can't scan"" it happened everytime",,,-1,,
sudah vaksin dua kali namun tidak bisa lihat sertifikat di aplikasi..,sudah vaksin dua kali namun tidak bisa lihat sertifikat di aplikasi..,it's been a vaccine twice but can't see the certificate in the application ..,,,-1,,
ini gimana vaksin ke 2 saya gak keluar² sertivikatnya udah 3 bulan.. di email gak di respon...,ini gimana vaksin ke 2 saya gak keluar² sertivikatnya udah 3 bulan.. di email gak di respon...,"this is what the 2nd vaccine doesn't come out, it's already 3 months ... in the email, it's not responded ...",,,-1,,
more user friendly,lebih ramah pengguna,more user friendly,,,1,,
"gak tau kenapa padahal udah vaksin ke-2 tapi sertifikatnya gak masuk peduli lindungi. jadi kemana-mana harus bawa kartu vaksin, agak ribet :(","gak tau kenapa padahal udah vaksin ke-2 tapi sertifikatnya gak masuk peduli lindungi. jadi kemana-mana harus bawa kartu vaksin, agak ribet :(","don't know why even though it's already the second vaccine but the certificate doesn't enter caring about protecting. so everywhere must bring a vaccine card, rather complicated :(",,,-1,,
menu aturan perjalanan tidak update. padahal sudah ganti berkali2. ini masih aturan juli yang di pake,menu aturan perjalanan tidak update. padahal sudah ganti berkali2. ini masih aturan juli yang di pake,the travel rule menu is not updated. even though it has changed many times. this is still a july rule using,,,0,,
"sekarang udah bisa daftar, setelah 5 jam standby dicoba terus. munkin waktu itu lagi gangguan / servernya penuh kali ya. soalnya dari website sama apilikasinya sama - sama ga berfungsi. keep up the good work! (lupa update review harusnya dari 1 bulan yang lalu)","sekarang udah bisa daftar, setelah 5 jam standby dicoba terus. munkin waktu itu lagi gangguan / servernya penuh kali ya. soalnya dari website sama apilikasinya sama - sama ga berfungsi. keep up the good work! (lupa update review harusnya dari 1 bulan yang lalu)","now it can be registered, after 5 hours standby tried continuously. munkin at that time again his interference / server was full of times. the problem is from the same website the same as it doesn't work. keep up the good work! (forgot the review update should be from 1 month ago)",,,1,,
"today i got vaccinated, i got notification that my sertificate is ready, it's great system i thought, then i started to download this app and start to questioning my first thought. i used my ktp to get vaccine, but i am foreigner, and the thing is this app only consider indonesian who has ktp. so my status still red even though i got my certificate. great!","hari ini saya mendapat vaksinasi, saya mendapat pemberitahuan bahwa sertifikat saya siap, itu sistem hebat yang saya pikir, kemudian saya mulai mengunduh aplikasi ini dan mulai mempertanyakan pemikiran pertama saya. saya menggunakan ktp saya untuk mendapatkan vaksin, tetapi saya orang asing, dan masalahnya adalah aplikasi ini hanya menganggap bahasa indonesia yang memiliki ktp. jadi status saya masih merah meskipun saya mendapat sertifikat saya. bagus!","today i got vaccinated, i got notification that my sertificate is ready, it's great system i thought, then i started to download this app and start to questioning my first thought. i used my ktp to get vaccine, but i am foreigner, and the thing is this app only consider indonesian who has ktp. so my status still red even though i got my certificate. great!",,,0,,
banyak bug,banyak bug,many bugs,,,-1,,
tidak mesra rakyat untuk pengguna warga indonesia yang berada diluar negara..jangan suruh saya ulas melalui email...sebab emailnya juga susah mau dibuka..,tidak mesra rakyat untuk pengguna warga indonesia yang berada diluar negara..jangan suruh saya ulas melalui email...sebab emailnya juga susah mau dibuka..,not intimate the people for indonesian people who are outside the country ... don't tell me to review via email ... because the email is also difficult to open ..,,,-1,,
tidak bisa digunakan. proses install aplikasi berhenti di persetujuan kebijakan privacy. (versi android 6.0.) 04.11.21 masih belum bisa ...,tidak bisa digunakan. proses install aplikasi berhenti di persetujuan kebijakan privacy. (versi android 6.0.) 04.11.21 masih belum bisa ...,can not be used. the installation process stops the privacy policy approval. (android version 6.0.) 04.11.21 still can't ...,,,-1,,
"i can't login after logout few days ago. the application said ""user not found"". otherwise, i already have peduli lindungi account since i vaccinated few months ago. what should i do? i already try many times with the same email address.","saya tidak bisa login setelah keluar beberapa hari yang lalu. aplikasi mengatakan ""pengguna tidak ditemukan"". kalau tidak, saya sudah memiliki akun peduli lindungi karena saya vaksinasi beberapa bulan yang lalu. apa yang harus saya lakukan? saya sudah mencoba berkali-kali dengan alamat email yang sama.","i can't login after logout few days ago. the application said ""user not found"". otherwise, i already have peduli lindungi account since i vaccinated few months ago. what should i do? i already try many times with the same email address.",,,-1,,
good,bagus,good,,,1,,
i am a bloody foreigner. why did your bloody system decide i am an indonesian?,saya orang asing berdarah. mengapa sistem berdarah anda memutuskan saya seorang indonesia?,i am a bloody foreigner. why did your bloody system decide i am an indonesian?,,,-1,,
"aplikasi wajib online, ga semua device bisa internet setidaknya simpan aja dulu data2 sampai internet aktif baru kirim ke database peduli lindungi","aplikasi wajib online, ga semua device bisa internet setidaknya simpan aja dulu data2 sampai internet aktif baru kirim ke database peduli lindungi","mandatory online application, not all devices can be internet at least save just used data2 until the new active internet send to the protect database",,,-1,,
aplikasi paling buruk.auto rotat tanpa diset di hp.nulis tanggal lahir harus mengurutkan dari tahun sekarang..harus pencet ratusan kali..apa gini semua aplikasi indonesia????,aplikasi paling buruk.auto rotat tanpa diset di hp.nulis tanggal lahir harus mengurutkan dari tahun sekarang..harus pencet ratusan kali..apa gini semua aplikasi indonesia????,the worst application,,,-1,,
its good now that english is available and i can register my nik as a foreigner but not all the areas are in english. and there's been some reviews below about the ehac not integrating. please get that fixed. i'll be traveling soon and they need to see the pcr result uploaded there. also i had this issue when at the mall yesterday. i used the updated version to check in but it didn't allow me and said i wasn't vaccinated. which is complete wrong. i already checked in before & it worked. pls fix,cocok sekarang bahwa bahasa inggris tersedia dan saya dapat mendaftarkan nik saya sebagai orang asing tetapi tidak semua bidang dalam bahasa inggris. dan ada beberapa ulasan di bawah ini tentang ehac yang tidak mengintegrasikan. tolong perbaiki itu. saya akan segera bepergian dan mereka perlu melihat hasil pcr yang diunggah di sana. saya juga memiliki masalah ini ketika di mal kemarin. saya menggunakan versi yang diperbarui untuk check-in tetapi tidak mengizinkan saya dan berkata saya tidak divaksinasi. yang salah salah. saya sudah check in sebelum & bekerja. tolong perbaiki,its good now that english is available and i can register my nik as a foreigner but not all the areas are in english. and there's been some reviews below about the ehac not integrating. please get that fixed. i'll be traveling soon and they need to see the pcr result uploaded there. also i had this issue when at the mall yesterday. i used the updated version to check in but it didn't allow me and said i wasn't vaccinated. which is complete wrong. i already checked in before & it worked. pls fix,,,-1,,
aplikasi ok,aplikasi adalah ok,application is ok,,,1,,
"my overseas vaccine alredy verified. but on the app, the certificate of vaccine didn't show up. it mention "" you don't have any covid-19 vaccine certificate"".","vaksin luar negeri saya diverifikasi. tetapi pada aplikasi, sertifikat vaksin tidak muncul. sebutkan ""anda tidak memiliki sertifikat vaksin covid-19"".","my overseas vaccine alredy verified. but on the app, the certificate of vaccine didn't show up. it mention "" you don't have any covid-19 vaccine certificate"".",,,0,,
