,comment,label,tokenized
0,"tdk bs check out diminta nyalain lokasi, pdhl udh nyala terus. piye?",,tdk bs check out diminta nyalain lokasi padahal udh nyala terus piye
1,check in dan check out selalu error,,check in dan check out selalu error
2,gps nya masih harus dibenerin,,gps nya masih harus dibenerin
3,lumayan,,lumayan
4,"aplikasinya force close setelah mengklik tombol ""i am understood""",,aplikasinya force close setelah mengklik tombol i am understood
5,"minta akses media buat apaan, location suka ga sesuai",,minta akses media buat apaan location suka tidak sesuai
6,sudah vaksinasi sertifikat vaksin pas di check tidak ada diapp ini.,,sudah vaksinasi sertifikat vaksin pas di check tidak ada diapp ini
7,sekarang aplikasinya audah bisa si pakai dan sangat membantu..,,sekarang aplikasinya audah bisa si pakai dan sangat
8,sudah biasa yaa aplikasi bikinan dalam negeri mah selalu lemot. miris,,sudah biasa yaa aplikasi bikinan dalam negeri mah selalu lemot miris
9,good data protection🤩✌,,good data
10,too much government's app,,too much government app
11,"yes, i 👍",,yes i
12,kena saya gak bisa masuk y? cuma ada bacaan pih bahsa indo dn asing gitu saja,,kena saya tidak bisa masuk y cuma ada bacaan pih bahsa indo dn asing gitu saja
13,keep crashing and can't be opened. downloaded this app because it's a must for indonesian citizens,,keep crashing and ca be opened downloaded this app because it a must for indonesian citizens
14,bikin hp saya jadi error semenjak download aplikasi ini.. banyak bug nya . tujuan aplikasinya bermanfaat tp pengelolaannya buruk. mengganggu kenyamanan masyarakat.,,bikin hp saya jadi error semenjak download aplikasi banyak bug nya tujuan aplikasinya bermanfaat tp pengelolaannya buruk mengganggu kenyamanan masyarakat
15,gabisa login gajelas,,tidakbisa login gajelas
16,"i cannot check in after scanning the barcode, it says 'melebihi batas radius' what does even make sense when i went to supermarket like 10 minutes away from my house :/ please do fix it!",,i can not check in after scanning the barcode it says batas radius what does even make sense when i went to supermarket like minutes away from my house please do fix it
17,tolong call centre lebih cepat tanggap,,tolong call centre lebih cepat tanggap
18,susah mau chek data,,susah mau chek data
19,sertifikat tidak muncul. padahal sudah menghubungi call centre. kecewa,,sertifikat tidak muncul padahal sudah menghubungi call centre kecewa
20,"""scan for log in > error, can't scan"" it happened everytime",,scan for log in error ca scan it happened everytime
21,sudah vaksin dua kali namun tidak bisa lihat sertifikat di aplikasi..,,sudah vaksin dua kali namun tidak bisa lihat sertifikat di
22,ini gimana vaksin ke 2 saya gak keluar² sertivikatnya udah 3 bulan.. di email gak di respon...,,ini gimana vaksin ke saya tidak sertivikatnya udah di email tidak di respon
23,more user friendly,,more user friendly
24,"gak tau kenapa padahal udah vaksin ke-2 tapi sertifikatnya gak masuk peduli lindungi. jadi kemana-mana harus bawa kartu vaksin, agak ribet :(",,tidak tau kenapa padahal udah vaksin tapi sertifikatnya tidak masuk peduli lindungi jadi harus bawa kartu vaksin agak ribet
25,menu aturan perjalanan tidak update. padahal sudah ganti berkali2. ini masih aturan juli yang di pake,,menu aturan perjalanan tidak update padahal sudah ganti ini masih aturan juli yang di pake
26,"sekarang udah bisa daftar, setelah 5 jam standby dicoba terus. munkin waktu itu lagi gangguan / servernya penuh kali ya. soalnya dari website sama apilikasinya sama - sama ga berfungsi. keep up the good work! (lupa update review harusnya dari 1 bulan yang lalu)",,sekarang udah bisa daftar setelah jam standby dicoba terus munkin waktu itu lagi gangguan servernya penuh kali ya soalnya dari website sama apilikasinya sama sama tidak berfungsi keep up the good work lupa update review harusnya dari bulan yang lalu
27,"today i got vaccinated, i got notification that my sertificate is ready, it's great system i thought, then i started to download this app and start to questioning my first thought. i used my ktp to get vaccine, but i am foreigner, and the thing is this app only consider indonesian who has ktp. so my status still red even though i got my certificate. great!",,today i got vaccinated i got notification that my sertificate is ready it great system i thought then i started to download this app and start to questioning my first thought i used my ktp to get vaccine but i am foreigner and the thing is this app only consider indonesian who has ktp so my status still red even though i got my certificate great
28,banyak bug,,banyak bug
29,tidak mesra rakyat untuk pengguna warga indonesia yang berada diluar negara..jangan suruh saya ulas melalui email...sebab emailnya juga susah mau dibuka..,,tidak mesra rakyat untuk pengguna warga indonesia yang berada diluar suruh saya ulas melalui email sebab emailnya juga susah mau
30,tidak bisa digunakan. proses install aplikasi berhenti di persetujuan kebijakan privacy. (versi android 6.0.) 04.11.21 masih belum bisa ...,,tidak bisa digunakan proses install aplikasi berhenti di persetujuan kebijakan privacy versi android masih belum bisa
31,"i can't login after logout few days ago. the application said ""user not found"". otherwise, i already have peduli lindungi account since i vaccinated few months ago. what should i do? i already try many times with the same email address.",,i ca login after logout few days ago the application said user not found otherwise i already have peduli lindungi account since i vaccinated few months ago what should i do i already try many times with the same email address
32,good,,good
33,i am a bloody foreigner. why did your bloody system decide i am an indonesian?,,i am a bloody foreigner why did your bloody system decide i am an indonesian
34,"aplikasi wajib online, ga semua device bisa internet setidaknya simpan aja dulu data2 sampai internet aktif baru kirim ke database peduli lindungi",,aplikasi wajib online tidak semua device bisa internet setidaknya simpan aja dulu sampai internet aktif baru kirim ke database peduli lindungi
35,aplikasi paling buruk.auto rotat tanpa diset di hp.nulis tanggal lahir harus mengurutkan dari tahun sekarang..harus pencet ratusan kali..apa gini semua aplikasi indonesia????,,aplikasi paling rotat tanpa diset di tanggal lahir harus mengurutkan dari tahun pencet ratusan gini semua aplikasi indonesia
36,its good now that english is available and i can register my nik as a foreigner but not all the areas are in english. and there's been some reviews below about the ehac not integrating. please get that fixed. i'll be traveling soon and they need to see the pcr result uploaded there. also i had this issue when at the mall yesterday. i used the updated version to check in but it didn't allow me and said i wasn't vaccinated. which is complete wrong. i already checked in before & it worked. pls fix,,its good now that english is available and i can register my nik as a foreigner but not all the areas are in english and there been some reviews below about the ehac not integrating please get that fixed i be traveling soon and they need to see the pcr result uploaded there also i had this issue when at the mall yesterday i used the updated version to check in but it did allow me and said i was vaccinated which is complete wrong i already checked in before it worked pls fix
37,aplikasi ok,,aplikasi ok
38,"my overseas vaccine alredy verified. but on the app, the certificate of vaccine didn't show up. it mention "" you don't have any covid-19 vaccine certificate"".",,my overseas vaccine alredy verified but on the app the certificate of vaccine did show up it mention you do have any vaccine certificate
39,"applikasi nggak jelas nih, sekelas pemerintah, kog mau masuk aja sulit, request permision, udah diizinkan, bolak balik disitu aja",,applikasi tidak jelas nih sekelas pemerintah kog mau masuk aja sulit request permision udah diizinkan bolak balik disitu aja
40,"aplikasi yg menjadi syarat di seluruh nasional tapi baru buka aplikasi mau registrasi aja ngga bisa scroll down setealh ceklist 'saya setuju' di kolom check box terms and condition. ukuran font di setting hp ufah paling kecil, mau di gimanain lagi coba?",,aplikasi yg menjadi syarat di seluruh nasional tapi baru buka aplikasi mau registrasi aja tidak bisa scroll down setealh ceklist setuju di kolom check box terms and condition ukuran font di setting hp ufah paling kecil mau di gimanain lagi coba
41,"ini pas mau melihat sertifikat vaksin kok ke interface pendaftaran vaksin? setelah saya cek data saya di menu tadi, ternyata saya sudah divaksin, dan setelah itu tidak ada menu untuk cari sertifikat vaksin saya tadi. aplikasi apaan ini? yang beres dong buat nya. ribet amatt",,ini pas mau melihat sertifikat vaksin kok ke interface pendaftaran vaksin setelah saya cek data saya di menu tadi ternyata saya sudah divaksin dan setelah itu tidak ada menu untuk cari sertifikat vaksin saya tadi aplikasi apaan ini yang beres dong buat nya ribet amatt
42,"saya sudah vaksin pertama, sertifikat pun sudah ada di aplikasi, tapi status vaksinasinya masih merah, belum berubah jadi kuning. minta solusi dong.",,saya sudah vaksin pertama sertifikat pun sudah ada di aplikasi tapi status vaksinasinya masih merah belum berubah jadi kuning minta solusi dong
43,"kenapa hasil pcr negatif, antigen negatif tapi status di pedulilindung warna hitam/terkena covid. mempersulit aktifitas saya.",,kenapa hasil pcr negatif antigen negatif tapi status di pedulilindung warna covid mempersulit aktifitas saya
44,its my key of enjoying this era :),,its my key of enjoying this era
45,"gak bisa tampilkan sertifikat vaksin, pas lagi butuh",,tidak bisa tampilkan sertifikat vaksin pas lagi butuh
46,"udah vaksin, tapi kok sertifikat vaksinnya ga muncul2",,udah vaksin tapi kok sertifikat vaksinnya tidak
47,sertifikat vaksin saya tidak ada d apliksi. sedangkan d website sdh ada. aplikasi dan website tidak sinkron.,,sertifikat vaksin saya tidak ada d apliksi sedangkan d website sdh ada aplikasi dan website tidak sinkron
48,"update 19 oktober 2021 malah ga bisa dibuka, selalu force close. tipe hp asus zenfone 2 laser, android 5.0.2",,update oktober malah tidak bisa dibuka selalu force close tipe hp asus zenfone laser android
49,"bang, mohon maap nih. aplikasi ini kan perlu banget location yah. tapi kenapa fungsi paling mendasar itu aja masih eror sih? masih aja gua harus mancing pake google maps dulu biar lokasi bener. buat apa lu minta permission location all the time? buat nyadap doang?",,bang mohon maap nih aplikasi ini kan perlu banget location yah tapi kenapa fungsi paling mendasar itu aja masih error sih masih aja gua harus mancing pake google maps dulu biar lokasi bener buat apa lu minta permission location all the time buat nyadap doang
50,"email pedulilindungi penuh, jadi email saya tidak terkirim....bagaimana ini?",,email pedulilindungi penuh jadi email saya tidak terkirim ini
51,kenapa saat mau scan code pas gps nya selalu ga bisa?,,kenapa saat mau scan code pas gps nya selalu tidak bisa
52,"sudah bisa...cek out, terima kasih",,sudah bisa cek out terimakasih kasih
53,"tombol setuju untuk lanjut tidak muncul, padahal saya sudah mengecilkan font tulisan seperti saran di komentar orang lain. sudah bolak balik uninstall dan reinstall. tapi tampilan sama.",,tombol setuju untuk lanjut tidak muncul padahal saya sudah mengecilkan font tulisan seperti saran di komentar orang lain sudah bolak balik uninstall dan reinstall tapi tampilan sama
54,"bapak2/ ibu2 yg berwenang tolooooong ditanggapi email saya tentang aplikasi peduli lindung yg eror status saya merah padahal saya sudah vaksin, eror ini membuat saya sulit beraktifitas karena semua akifitas hrs menggunakan aplikasi peduli lindungi yg msh error saya sdh email dan sdh hub 119( yg cm terima keluhan tanpa solusi) terima kasih",,yg berwenang tolooooong ditanggapi email saya tentang aplikasi peduli lindung yg error status saya merah padahal saya sudah vaksin error ini membuat saya sulit beraktifitas karena semua akifitas hrs menggunakan aplikasi peduli lindungi yg msh error saya sdh email dan sdh hub yg cm terimakasih keluhan tanpa solusi terimakasih kasih
55,kenapa tidak bisa lanjut ke isi formulir vaksin sertifikat ? padahal sudah vaksin 2x; always bounch back.,,kenapa tidak bisa lanjut ke isi formulir vaksin sertifikat padahal sudah vaksin always bounch back
56,vaksin,,vaksin
57,(+) tidak harus pakai lokasi terus menerus (+) tampilan lebih fresh (-) kadang suka ilang tombol check out 😂 (-) gak ada opsi ganti tema (dark mode = hemat) moga ditambahkan pemilihan theme..,,tidak harus pakai lokasi terus menerus tampilan lebih fresh kadang suka ilang tombol check out tidak ada opsi ganti tema dark mode hemat moga ditambahkan pemilihan
58,nice aja,,nice aja
59,good,,good
60,good app..👍,,good
61,terpantau posisinya,,terpantau posisinya
62,"apk yg cool banget,,,sukses y",,apk yg cool banget sukses y
63,pemaksaan,,pemaksaan
64,susah banget scan qrcode nya ..,,susah banget scan qrcode nya
65,"aplikasi sampah. sudah diupdate, lokasi akurat, internet lancar tpi tidak bisa scan qr.",,aplikasi sampah sudah diupdate lokasi akurat internet lancar tpi tidak bisa scan qr
66,tombol i agree tidak muncul diawal. aplikasi tidak bisa digunakan atau tidak bisa masuk/login... pls cek. -masalah teratasi dengan pengecilan display dan font,,tombol i setuju tidak muncul diawal aplikasi tidak bisa digunakan atau tidak bisa pls cek teratasi dengan pengecilan display dan font
67,suka error,,suka error
68,blm bisa sy pergunakan,,belum bisa sy pergunakan
69,good,,good
70,"the location accuracy is bad enough, i'm detected on different location compared to waze app",,the location accuracy is bad enough i detected on different location compared to waze app
71,"this application not update, i'm already got 2nd dose but my status still ""yellow"" suppose to be ""green"". this issue very basic and important. i'm already email for this issue but no response and no problem solving. this is very important to us for bussiness trip activity.",,this application not update i already got dose but my status still yellow suppose to be green this issue very basic and important i already email for this issue but no response and no problem solving this is very important to us for bussiness trip activity
72,"nyusahin! eror terus. masa jauh dari radius tiap check in!! di update aplikasinya tanggal 9 seprember 2021, sertifikat vaksin pertama malah hilang! sertifikat vaksin ke-2 juga tidak ada. padahal sudah selesai vaksin sampai dosis 2. validitas data statistik dipertanyakan. beberapa fitur tidak relevan.",,susah error terus masa jauh dari radius tiap check in di update aplikasinya tanggal seprember sertifikat vaksin pertama malah hilang sertifikat vaksin juga tidak ada padahal sudah selesai vaksin sampai dosis validitas data statistik dipertanyakan beberapa fitur tidak relevan
73,"tolong lah perbaikan, banyak yg sdh vaksin ke dua tapi di status aplikasi tdk berubah, menghubungi call center juga tdk ada respon, kirim email juga tdk di respon, sejujurnya kewajiban memakai aplikasi ini meresahkan masyarakat,",,tolong lah perbaikan banyak yg sdh vaksin ke dua tapi di status aplikasi tdk berubah menghubungi call center juga tdk ada respon kirim email juga tdk di respon sejujurnya kewajiban memakai aplikasi ini meresahkan masyarakat
74,"kode otp ke hp dan email tidak pernah sampai walaupun dicoba berkali-kali, hingga kapal nabi nuh datangpun tidak ada kode otp. pas sampe hampir 2 menit oadahal kobeksi cepet. bravo kominfo! saya kira di dalamnya orang-orang pinter semua, ini hanyalah aplikasi pemerintah pada umumnya, useless dan mengandalkan tagline birokrasi 'harap maklum'.",,kode otp ke hp dan email tidak pernah sampai walaupun dicoba hingga kapal nabi nuh datangpun tidak ada kode otp pas sampe hampir menit oadahal kobeksi cepet bravo kominfo saya kira di dalamnya pinter semua ini hanyalah aplikasi pemerintah pada umumnya useless dan mengandalkan tagline birokrasi maklum
75,"begitu update aplikasi terbaru malah ""not responding"". sy sdh bolak/i hapus dan instal, masih sama. bagaimana sy bs menggunakan aplikasi tsb? memory tersisa banyak. software sdh ter-update.",,begitu update aplikasi terbaru malah not responding sy sdh hapus dan instal masih sama bagaimana sy bs menggunakan aplikasi tsb memory tersisa banyak software sdh
76,"aneh bgt, masa sama sekali gabisa di download",,aneh bgt masa sama sekali tidakbisa di download
77,"masiih suka nyangkut, tidak ada tombol check out. pas scan di area lain jadi tidak bisa, seharusnya check out otomatis dalam radius tertentu",,masiih suka nyangkut tidak ada tombol check out pas scan di area lain jadi tidak bisa seharusnya check out otomatis dalam radius tertentu
78,"aplikasi tidak bisa dibuka, hanya berhenti di halaman pilihan bahasa & warga negara, selain itu juga halaman syarat & penggunaan tidak bisa di scroll keatas, mohon diperbaharui.",,aplikasi tidak bisa dibuka hanya berhenti di halaman pilihan bahasa warga negara selain itu juga halaman syarat penggunaan tidak bisa di scroll keatas mohon diperbaharui
79,"setelah saya memberi centang pada box persetujuan syarat dan ketentuan, halaman tidak bisa di scroll down sehingga saya tidak bisa login",,setelah saya memberi centang pada box persetujuan syarat dan ketentuan halaman tidak bisa di scroll down sehingga saya tidak bisa login
80,lokasi buatan terdeteksi. dan aplikasi pun tidak berfungsi..,,lokasi buatan terdeteksi dan aplikasi pun tidak
81,saya tidak bisa mengunduh sertifikat vaksin padahal sudah vaksin kedua,,saya tidak bisa mengunduh sertifikat vaksin padahal sudah vaksin kedua
82,sering gabisa check in gatau kenapa,,sering tidakbisa check in gatau kenapa
83,"tidak bisa masuk ke aplikasi setelah menerima (centang) syarat privasi!! tetap di layar tsb tidak dapat berpindah, dan tidak dapat di scroll",,tidak bisa masuk ke aplikasi setelah menerima centang syarat privasi tetap di layar tsb tidak dapat berpindah dan tidak dapat di scroll
84,i find this app is difficult to detect gps and draining my battery,,i find this app is difficult to detect gps and draining my battery
85,harus mengecilkan ukuran huruf agar bisa login untuk klik setuju. serta sertifikat vaksin tidak bisa di akses/tampil. harus via web,,harus mengecilkan ukuran huruf agar bisa login untuk klik setuju serta sertifikat vaksin tidak bisa di harus via web
86,"location is active, but i often fail when i check in",,location is active but i often fail when i check in
87,"sering eror, tulisan sertivikat vaksin tidak tersedia, gitu mulu",,sering error tulisan sertivikat vaksin tidak tersedia gitu mulu
88,worst apps do nothing error fatal,,worst apps do nothing error fatal
89,sudah isoman tapi status hitam belum berubah juga,,sudah isoman tapi status hitam belum berubah juga
90,"saat mengisi e-hac dan memilih di kolom kendaraan yg digunakan, pilih airplane tapi ketika akan disubmit malah berubah jadi car.",,saat mengisi dan memilih di kolom kendaraan yg digunakan pilih airplane tapi ketika akan disubmit malah berubah jadi car
91,ngebug mulu nih aps,,ngebug mulu nih aps
92,bad app,,bad app
93,susah didownload,,susah didownload
94,healthy,,healthy
95,good job guys....,,good job guys
96,setelah saya download aplikasi yg baru kesulitan buka akun yg lama,,setelah saya download aplikasi yg baru kesulitan buka akun yg lama
97,"saya update reviewnya karena sudah mengubah sesuai saran agar akses lokasi tidak setiap saat, tetapi hanya while in use. good job pedulilindungi. ini komentar saya sebelumnya: sebaiknya aplikasi ini memungkinkan izin lokasi while in use. bukan whole time.",,saya update reviewnya karena sudah mengubah sesuai saran agar akses lokasi tidak setiap saat tetapi hanya while in use good job pedulilindungi ini komentar saya sebelumnya sebaiknya aplikasi ini memungkinkan izin lokasi while in use bukan whole time
98,gak bagus,,tidak bagus
99,"finally get the working, simple version. the qr code also works.",,finally get the working simple version the qr code also works
100,kenapa harus disetting huruf terlebih dahulu agar keluar saya setujunya. ? kenapa tidak aplikasi yg mengikuti ukuran layar hp ? jgn membuat jadi tambah sulit .. mohon review lgi.. makin update makin kacau,,kenapa harus disetting huruf terlebih dahulu agar keluar saya setujunya kenapa tidak aplikasi yg mengikuti ukuran layar hp jangan membuat jadi tambah sulit mohon review makin update makin kacau
101,perbaiki size tombolnya . tiap hp beda ukuran saya cobaa di samsung j7 tombol aggrements & privacy ada dibawah sendiri jadi tidak bisa dipencet. sama ketika scan barcode udah jelas saya di lokasi malah muncul error sedang tidak ada dilokasi. i hope the company fix this issue.,,perbaiki size tombolnya tiap hp beda ukuran saya cobaa di samsung tombol aggrements privacy ada dibawah sendiri jadi tidak bisa dipencet sama ketika scan barcode udah jelas saya di lokasi malah muncul error sedang tidak ada dilokasi i hope the company fix this issue
102,"update versi 4.0.2 aplikasinya jadi tidak bisa dibuka, sudah coba install ulang juga sama saja",,update versi aplikasinya jadi tidak bisa dibuka sudah coba install ulang juga sama saja
103,very use full 🌝,,very use full
