id,id_processed
tidak bisa check out nyalain lokasi udh nyala piye,-1
check in check out error,-1
gps nya harus dibenerin,-1
lumayan,0
aplikasi force close klik tombol i am understood,-1
akses media apa location suka tidak sesuai,-1
vaksinasi sertifikat vaksin pas check tidak diapp,-1
aplikasi audah bisa si pakai sangat,1
biasa yaa aplikasi bikin negeri mah lot miris,-1
lindung data,1
aplikasi banyak perintah,-1
ya,0
kena tidak bisa masuk y ada baca pih bahsa indo dn asing gitu,-1
tabrak tidak buka unduh aplikasi karena suatu bagi warga negara indonesia,-1
bikin hp jadi error semenjak download aplikasi bug nya tuju aplikasi manfaat tp kelola buruk ganggu nyaman masyarakat,-1
tidak bisa login gajelas,-1
tidak telah pindai barcode batas radius yang masuk akal pergi supermarket menit rumah saya tolong baik,-1
tolong call centre cepat tanggap,-1
susah chek data,-1
sertifikat tidak muncul sudah hubung call centre kecewa,-1
pindai masuk salah tidak pindai jadi kali,-1
vaksin kali tidak bisa lihat sertifikat,-1
gimana vaksin saya tidak sertivikatnya udah email tidak respon,-1
ramah guna,1
tidak tau padahal udah vaksin sertifikat tidak masuk peduli lindung harus bawa kartu vaksin ribet,-1
menu atur jalan tidak update sudah ganti masih atur juli di pake,-1
udah bisa daftar jam standby coba munkin itu ganggu servernya penuh kali ya dari website apilikasinya sama tidak fungsi keep up the good work lupa update review dari yang,1
vaksinasi pemberitahuan sertifikat siap sistem hebat pikir unduh aplikasi tanya pikir guna ktp saya untuk dapat vaksin saya orang asing dan masalah aplikasi ini hanya anggap bahasa indonesia milik ktp status saya masih merah saya dapat sertifikat saya bagus,-1
bug,-1
tidak mesra rakyat guna warga indonesia ada luar suruh ulas email email susah,-1
tidak bisa guna proses install aplikasi henti tuju bijak privacy versi android belum bisa,-1
tidak bisa login keluar hari lalu aplikasi guna tidak temu tidak sudah milik akun peduli lindung vaksinasi bulan lalu saya laku saya sudah coba alamat email yang sama,-1
bagus,1
orang asing darah sistem darah putus orang indonesia,-1
aplikasi wajib online tidak device bisa internet tidak simpan aja sampai internet aktif kirim database peduli lindung,-1
aplikasi rotat set tanggal lahir urut tahun pencet ratus gin aplikasi indonesia,-1
cocok bahwa bahasa inggris sedia daftar nik bagai orang asing tidak bidang bahasa inggris ada ulas bawah tentang ehac tidak integrasi tolong baik segera pergi mereka lihat hasil pcr unggah sana juga milik ini di mal kemarin guna versi baru tetapi tidak izin saya dan saya tidak vaksinasi salah salah saya sudah check in kerja tolong baik,-1
aplikasi ok,1
vaksin luar negeri verifikasi pada aplikasi sertifikat vaksin tidak muncul anda tidak milik sertifikat vaksin,-1
applikasi tidak nih kelas perintah kog masuk aja sulit request permision udah izin bolak situ aja,-1
aplikasi yg syarat seluruh nasional baru buka aplikasi registrasi aja tidak bisa scroll down setealh ceklist tuju kolom check box terms and condition ukur font setting hp ufah kecil di gimanain coba,-1
pas lihat sertifikat vaksin ke interface daftar vaksin cek data di menu nyata sudah vaksin telah tidak menu cari sertifikat vaksin saya tadi aplikasi ini beres buat nya ribet amatt,-1
sudah vaksin sertifikat sudah di aplikasi status vaksinasi merah ubah kuning solusi,-1
hasil pcr negatif antigen negatif status pedulilindung warna covid sulit aktifitas,-1
kunci nikmat era,1
tidak bisa tampil sertifikat vaksin pas butuh,-1
udah vaksin kok sertifikat vaksin tidak,-1
sertifikat vaksin tidak d apliksi d website sdh aplikasi website tidak sinkron,-1
update oktober tidak bisa buka force close tipe hp asus zenfone laser android,-1
bang mohon maap aplikasi kan banget location yah kenapa fungsi dasar aja error sih aja gua mancing pake google maps biar lokasi bener apa lu permission location all the time nyadap doang,-1
email pedulilindungi penuh email tidak kirim,-1
saat scan code pas gps nya tidak bisa,-1
bisa cek out terimakasih kasih,1
tombol tuju lanjut tidak muncul saya kecil font tulis saran komentar orang sudah bolak uninstall reinstall tampil,-1
yg wenang tolooooong tanggap email tentang aplikasi peduli lindung yg error status merah vaksin error buat sulit beraktifitas semua akifitas hrs guna aplikasi peduli lindung yg msh error saya sdh email sdh hub yg cm terimakasih keluh solusi terimakasih kasih,-1
tidak bisa ke isi formulir vaksin sertifikat sudah vaksin always bounch back,-1
vaksin,0
tidak pakai lokasi terus tampil fresh kadang suka ilang tombol check out tidak opsi ganti tema dark mode hemat moga pilih,0
drive bagus,1
bagus,1
aplikasi,1
pantau posisi,0
apk yg cool banget sukses y,1
paksa,-1
susah banget scan qrcode nya,-1
aplikasi sampah diupdate lokasi akurat internet lancar tpi tidak bisa scan qr,-1
tombol i tuju tidak muncul aplikasi tidak bisa guna tidak bisa pls cek dengan display font,-1
suka salah,-1
bisa sy guna,1
bagus,1
akurasi lokasi buruk deteksi lokasi beda banding aplikasi waze,-1
aplikasi tidak dapat dosis status masih kuning jadi hijau dasar penting saya sudah kirim email ini tetapi tidak respons tidak pecah masalah ini penting kami giat jalan bisnis,-1
susah error masa dari radius check in update aplikasi tanggal seprember sertifikat vaksin malah hilang sertifikat vaksin tidak padahal selesai vaksin dosis validitas data statistik beberapa fitur tidak relevan,-1
tolong baik yg sdh vaksin dua status aplikasi tidak ubah hubung call center tidak respon kirim email tidak di respon jujur wajib pakai aplikasi resah masyarakat,-1
kode otp hp email tidak sampai coba kapal nabi nuh tidak kode otp pas sampe menit oadahal kobeksi cepet bravo kominfo kira dalam pinter ini aplikasi perintah umum useless andal tagline birokrasi maklum,-1
update aplikasi malah not responding sy sdh hapus instal sama sy bisa guna aplikasi tsb memory sisa software sdh,-1
aneh bgt sama tidak bisa download,-1
masiih suka nyangkut tidak tombol check out pas scan area jadi tidak bisa check out otomatis radius,-1
aplikasi tidak bisa buka henti halaman pilih bahasa warga negara itu halaman syarat guna tidak bisa scroll mohon baharu,-1
saya centang box tuju syarat tentu halaman tidak bisa scroll down saya tidak bisa login,-1
lokasi deteksi aplikasi tidak,0
tidak bisa unduh sertifikat vaksin sudah vaksin,-1
tidak bisa check in gatau,-1
tidak bisa masuk aplikasi terima centang syarat privasi di layar tsb tidak pindah tidak di scroll,-1
temu aplikasi sulit deteksi gps uras baterai,-1
kecil ukur huruf bisa login klik tuju sertifikat vaksin tidak bisa harus via web,-1
lokasi aktif saya gagal saya,-1
error tulis sertivikat vaksin tidak sedia gitu mulu,-1
aplikasi buruk tidak laku salah fatal,-1
isoman status hitam ubah,-1
isi pilih kolom kendara yg guna pilih airplane ketika disubmit ubah car,-1
ngebug mulu aps,-1
aplikasi buruk,-1
susah didownload,-1
sehat,1
kerja bagus guys,1
saya download aplikasi yg sulit buka akun yg,-1
update reviewnya sudah ubah sesuai saran akses lokasi tidak saat hanya while in use good job pedulilindungi komentar belum baik aplikasi mungkin izin lokasi while in use whole time,1
tidak bagus,-1
dapat versi fungsi sederhana kode qr fungsi,-1
harus disetting huruf dahulu keluar tuju tidak aplikasi yg ukur layar hp buat tambah sulit mohon review update kacau,-1
baik size tombol hp beda ukur cobaa samsung tombol aggrements privacy bawah jadi tidak bisa pencet ketika scan barcode udah saya lokasi muncul error tidak lokasi i hope the company fix this issue,-1
update versi aplikasi tidak bisa buka coba install ulang sama,-1
guna penuh,-1
paksa guna aplikasi tp tidak bisa pakai stuck tidak bisa masuk tidak tulis tuju nya krn tidak bisa scroll bawah dikecilin font nya android update tidak bisa kita tidak bisa terbang tidak bisa pakai aplikasi tolong solusi min,-1
lawak kawan login susah otp tidak dapet tolong doperbaiki gausah deh ui keren nambah fitur esensial benerin percuma desain bagus tidak guna chuakz tolong ban,-1
baik,1
udah complete harus nunggu cuma scan qr code nya tidak bisa suruh periksa jaring padahal gps internet udah oke bukti bisa order ojol buka gmaps tolong baik mau ngakses doang sampe menit banget juga tentu bisa duh,-1
aplikasi bosokkk data lengkap sertifikat tidak padahal vaksin dosis,-1
tidak scroll bagi syarat guna bijak privasi,-1
dapat tuju tombol android sila aplikasi layar penuh otomatis fungsi,-1
aplikasi keri tidak responsif sekali,-1
versi malah susah check in krn lokasi out of radius apps bisa lokasi sesuai dg qr di lokasi tp versi ini tidak bisa set lokasi walau gps on hrs kasih lihat sertifikat vaksin tidak bisa check in pakai apps pls fix it tq,-1
ngatri vaksin nya banget bah berangkat jam pulang jam,-1
masuk mall tidak bisa scan code udh bbrapa kali update ttp tidak bisa scan kecewa aplikasi negara lho tp kes msh amatir,-1
lot,0
aplikasi force close,-1
tidak bisa scroll bawah atas terimakasih kasih tim developer,1
opsi bahasa ui mudah guna akses cepat tidak ada lagi lokasi minta saat tidak guna aplikasi,1
terimakasih telah pecah saya,1
bantu mudah guna terimakasih,1
tidak bisa check out baru check in,-1
sertifikat vaksin tidak keluar udh vaksin tapi sampe bom sertifikat kepake cuman scan kalo pergi mana,-1
aplikasi sama tidak guna pilih bahasa inggris nama itu tidak terjemah bagi paling adalah sertifikat vaksin entah dapat terjemah sertifikat perintah inggris tidak terima ini ada bahasa inggris prancis spanyol belum tidak baik memang coba hubung lalu alamat email anda tetapi saya kembali kali pasti lihat,-1
aplikasi terbit minta hasil pcr sudah saya laku tidak tidak riwayat pcr,0
sulit guna,-1
nice helpfull foto profil tidak bisa ganti,0
tidak bisa scan lokasi aplikasi tutup kali buka menu scan barcode coba install ulang tetap,-1
sulit guna,-1
update gagal check in belum baik,-1
aplikasi kualitas ra therells d songs gae kelas aplikasi,0
kerja baik mudah guna manfaat,1
tolong baik app baru donlod uda aja uda di klik tombol tuju tidak ubah sekali susah orang aja tolong baik uda juga yg protes aplikasi belum baharu yg baik gimana sih,-1
oke,1
gud app to control covid covid should be lenyap from bumi nusantara aamiin,1
dev hapus ulas sertifikat covid tidak kartu anda butuh nomor,0
crash guna saat untuk ehac tolong baik,-1
notif gajenya tidak bisa ilang edit udah fix notif bugnya naikin jd bintang,-1
sangat bantu pulih bumi khusus indonesia moga lekas pulih,1
tidak bisa scrolling i accept ui nya tidak kompatibel beberapa hp,-1
ehac tidak bisa ubah vehicle isi car mohon baik,-1
sertifikat vaksin tidak bisa udah ulang kali input nik nama tetep tidak tampil,-1
bisa sudah wajib guna aplikasi seringkali scan qr code tidak fungsi jadi hambat,-1
layan laknat dana sumber daya manusia korupsi orang kayak orang orang sawah kirim dalem goa kerja handphone kartu sim aja tidak tau udah kayak masuk support minta bantu jawab gatau tidak bisa udah anda aplikasi bikin jg bayar tepuk tangan doang interface kayak sampah udah,-1
untuk kelas perintah daftar loop validasi email tidak aktif tolong developer nya program niat,-1
update aplikasi sertifikat vaksin tidak bisa tampil,-1
terimakasih vaksin dosis dua aplikasi sudah terang sudah dosis dua kenapa tidak bisa muncul sertifikat,1
sy sdh selesai vaksin pd tgl okt tp sp skrg msh dpt setivikat,-1
bagus,1
minggu error,-1
sering error nya,-1
tidak karena aplikasi check out gedung itu tidak temu cek saya dalam sejarah aplikasi seperti tidak rekam saya bisa check out tidak catat ui sederhana hebat fungsi dasar teknis rupa masalah besar aplikasi sampah,-1
