id,id_processed,baku_cleared
yes makan,yes makan,makan
nasi kuning tdk,nasi kuning tidak,nasi kuning tidak
setan,setan,setan
Vaksin pertama ada sertifikatnya diaplikasi vaksin kedua   klo petugasnya aja malas2 menginput data,vaksin ada sertifikat aplikasi vaksin klo tugas aja malas menginput data,vaksin sertifikat aplikasi vaksin tugas aja malas data
legit sukses binary option cpt ky cuy,legit sukses binary option cpt ky cuy,legit sukses ky
",tak HALO muncul2 diaplikasi sertifikat vaksinnya pdhl kmrn udh vaksin ke 3",tak halo muncul aplikasi sertifikat vaksin kmrn udh vaksin,tak halo muncul aplikasi sertifikat vaksin vaksin
"sdh tp hmpir 6bln,tak muncul2 diaplikasi sertifikat vaksinnya pdhl kmrn udh vaksin ke 3""katanya""vaksin",sdh tp hmpir tak muncul aplikasi sertifikat vaksin kmrn udh vaksin kata vaksin,belum tak muncul aplikasi sertifikat vaksin vaksin vaksin
ke2 blm diinput sama petugas vaksinasi.carut maut,belum diinput tugas vaksinasi carut maut,sama tugas vaksinasi carut maut
pdhal sudah kerjakan tugas,pdhal kerja tugas,kerja tugas
pasti bisa selesaikan 88 tugas densus nuke,bisa selesai tugas densus nuke,bisa selesai tugas
adm admin administrasi,adm admin administrasi,administrasi
avicii hello makan rendang padang wenak tenan sekali-kali,avicii hello makan rendang padang wenak tenan kali,makan rendang padang kali
ibu pergi kepasar jual sayur,pergi pasar jual sayur,pergi pasar jual sayur
ayah bekerja dengan bahagia dan giat,ayah kerja bahagia giat,ayah kerja bahagia giat
Tuhan Yesus Baik,tuhan yesus baik,tuhan baik
Tetangga ramah,tetangga ramah,tetangga ramah
